AuthorID,Author,Date,Content,Attachments,Reactions
"1154255244981698652","kzi_2","2026-01-18T20:25:36.3730000+00:00","The blacks are no threat","",""
"1195410543280930827","diaxmc","2026-01-18T20:25:39.1030000+00:00","Yeah","",""
"1195410543280930827","diaxmc","2026-01-18T20:25:44.0070000+00:00","Yeah yeah","",""
"1195410543280930827","diaxmc","2026-01-18T20:25:48.8880000+00:00","I’m gonna attack them","",""
"1154255244981698652","kzi_2","2026-01-18T20:26:07.7790000+00:00","Just conquer them quickly to encircle RRR","",""
"1195410543280930827","diaxmc","2026-01-18T20:27:42.0490000+00:00","Ts ok our flag","assets/971273E7-808C-46F0-905E-5D842152D58E-78C8B.png",""
"1154255244981698652","kzi_2","2026-01-18T20:28:04.2370000+00:00","My flag is all black","",""
"1195410543280930827","diaxmc","2026-01-18T20:28:10.0010000+00:00","Why","",""
"1154255244981698652","kzi_2","2026-01-18T20:28:35.2840000+00:00","Cuz we don't want to show how much blood is stained in it to achieve it","",""
"1154255244981698652","kzi_2","2026-01-18T20:28:46.1540000+00:00","Freedom comes at a cost","",""
"1154255244981698652","kzi_2","2026-01-18T20:29:24.1620000+00:00","And that cost we will not let our future children see.","",""
"1195410543280930827","diaxmc","2026-01-18T20:33:13.0160000+00:00","Yeah","",""
"1195410543280930827","diaxmc","2026-01-18T20:33:28.1720000+00:00","I think you miswrote it","",""
"1195410543280930827","diaxmc","2026-01-18T20:33:42.6300000+00:00","You meant that we will sacrifice ourselves so that our children can see it","",""
"1154255244981698652","kzi_2","2026-01-18T20:33:57.5540000+00:00","Well, blood isn't visible in black cloth so","",""
"1154255244981698652","kzi_2","2026-01-18T20:34:40.3400000+00:00","Yk, I remember how when my brother shot me, I was wearing a black shirt and the blood didn't show up","",""
"1195410543280930827","diaxmc","2026-01-18T20:35:05.0490000+00:00","💀 💀 💀","",""
"1195410543280930827","diaxmc","2026-01-18T20:35:17.3460000+00:00","Why brother shot you","",""
"1154255244981698652","kzi_2","2026-01-18T20:35:31.8070000+00:00","I made a threat","",""
"1195410543280930827","diaxmc","2026-01-18T20:35:37.2030000+00:00","What threat","",""
"1154255244981698652","kzi_2","2026-01-18T20:36:08.5880000+00:00","CHAT","",""
"846666693883199539",".szymk.","2026-01-18T20:36:14.2170000+00:00",":emoji_1:","",""
"1154255244981698652","kzi_2","2026-01-18T20:36:25.5600000+00:00","DISCORD IS ADDING AGE VERIFICATION 💀","",""
